"","Width","Length","Southwest","fit"
"140",17.6,10.5,0,0.0110618881528066
"141",17.9,10.5,0,0.0121035938275815
"142",18.2,10.5,0,0.0132435338934554
"143",18.5,10.5,0,0.0144904552503239
"144",18.8,10.5,0,0.0158537465978561
"145",19.1,10.5,0,0.0173434550932311
"146",19.4,10.5,0,0.0189702988226721
"147",19.7,10.5,0,0.0207456700391616
"148",20,10.5,0,0.0226816293071462
"149",20.3,10.5,0,0.0247908861519207
"150",20.6,10.5,0,0.0270867678547784
"151",20.9,10.5,0,0.0295831793222797
"152",21.2,10.5,0,0.0322945376620078
"153",21.5,10.5,0,0.0352356928500421
"154",21.8,10.5,0,0.0384218247699782
"155",22.1,10.5,0,0.0418683207250503
"156",22.4,10.5,0,0.0455906398286612
"157",22.7,10.5,0,0.0496041650110363
"158",23,10.5,0,0.0539240388044338
"159",23.3,10.5,0,0.0585649744876475
"160",23.6,10.5,0,0.0635410616994647
"161",23.9,10.5,0,0.0688655690999595
"162",24.2,10.5,0,0.0745507485238067
"163",24.5,10.5,0,0.0806076318274467
"164",24.8,10.5,0,0.0870458404557918
"165",25.1,10.5,0,0.0938733992737674
"166",25.4,10.5,0,0.101096580730327
"167",25.7,10.5,0,0.108719763333066
"168",26,10.5,0,0.116745308736538
"169",26.3,10.5,0,0.125173476059545
"170",26.6,10.5,0,0.134002372972224
"171",26.9,10.5,0,0.143227927088672
"172",27.2,10.5,0,0.15284388291839
"173",27.5,10.5,0,0.162841832800351
"174",27.8,10.5,0,0.173211277858239
"175",28.1,10.5,0,0.18393971540767
"176",28.4,10.5,0,0.195012742807419
"177",28.7,10.5,0,0.206414184416089
"178",29,10.5,0,0.21812623454422
"179",29.3,10.5,0,0.23012961863581
"180",29.6,10.5,0,0.242403758573943
"181",29.9,10.5,0,0.254926947148583
"182",30.2,10.5,0,0.267676530205173
"183",30.5,10.5,0,0.280629098291101
"184",30.8,10.5,0,0.293760688465855
"185",31.1,10.5,0,0.307046979611318
"186",31.4,10.5,0,0.320463475935217
"187",31.7,10.5,0,0.333985683275874
"188",32,10.5,0,0.347589276596178
"189",32.3,10.5,0,0.361250247803478
